feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40
0.21084,0.44426,0.69983,0.84277,1.02323,0.81147,0.89203,1.08315,0.97146,1.01218,0.51475,0.41635,0.6609,0.73193,0.55427,0.66585,1.29527,1.32675,1.0262,1.63696,0.22074,-0.3196,-0.3892,0.11422,-0.17458,0.41545,-0.00743,0.00726,-0.01001,0.10003,0.33639,0.17697,0.61616,0.38102,0.26674,0.22811,0.41281,-0.03071,0.42564,0.50698
0.0647,0.00824,-0.11536,0.11932,-0.05554,0.2107,-0.06677,0.1301,0.39844,-0.04443,0.29624,-0.1156,0.37937,-0.15978,0.66916,0.32969,0.64575,0.17559,0.32067,0.22776,-0.0351,0.6364,0.55176,0.77175,0.83739,0.79077,1.25483,1.14251,1.54082,1.7393,0.14172,0.60332,0.61503,0.59749,0.64918,0.91108,0.88319,0.81731,1.36993,1.2366
0.3406,-0.54307,-0.21249,-0.20642,0.40275,0.0082,0.08189,-0.0687,-0.10561,-0.5481,0.1141,0.23905,-0.08715,0.2413,0.17828,-0.0679,-0.09421,-0.20765,0.2677,-0.24733,0.0693,0.36835,0.2734,0.31798,0.6273,0.2446,0.93423,0.73065,0.89668,0.78678,0.63309,0.4136,0.76202,0.82186,1.33538,1.08549,1.10288,1.4145,1.57291,1.99327
0.30114,0.75681,0.6226,0.89274,0.71112,1.21116,1.07671,1.33157,1.21154,1.57492,0.00134,-0.14353,0.16293,0.33886,0.13777,0.05516,0.24807,0.39332,0.34443,0.39714,0.03755,0.0801,0.10681,-0.04178,-0.20056,0.08336,-0.43723,0.26009,-0.06246,-0.43647,0.20201,-0.11517,0.26255,0.21667,0.01701,0.28921,0.04307,-0.09793,0.02938,-0.15923
-0.2178,-0.01473,0.10573,0.24055,-0.25357,0.21974,0.11453,0.36135,0.41338,-0.04149,0.28189,0.62235,0.65431,0.53238,0.59315,1.14786,0.85887,1.04736,0.78473,1.03149,0.2833,0.48218,0.49956,0.50412,0.66295,0.82707,1.01206,1.09459,1.49255,1.06712,0.14776,0.54453,0.54963,0.449,0.7227,0.415,0.35863,0.46139,0.50765,0.63417
0.24121,0.39225,0.45741,0.42372,0.57844,0.67178,0.59255,1.10245,1.05428,0.93488,-0.05091,-0.0403,0.09366,0.20319,0.26087,0.08191,-0.20927,0.3795,0.08364,0.11199,-0.05313,0.31145,0.15126,-0.06963,-0.17886,-0.14946,0.0208,0.1928,0.20726,-0.33754,-0.05455,0.15753,-0.32396,-0.11964,0.32424,-0.35883,0.49205,-0.22845,0.17078,-0.18758
0.52208,0.61181,0.45319,0.53733,0.76681,0.78644,1.34716,1.39237,1.06204,1.31901,0.35021,0.1613,-0.06206,0.63321,0.38806,0.32831,0.6003,0.29756,0.22657,0.19223,0.01142,0.37544,0.38184,0.13423,0.08365,0.07794,-0.03956,0.05701,-0.31777,0.00843,0.16886,-0.1347,0.43891,-0.20536,-0.18326,0.12285,0.3015,0.26315,0.049,0.26799
0.32295,0.12021,0.30692,0.72767,0.58221,0.89891,0.92096,1.0468,0.81597,0.96795,0.29776,0.89568,0.36118,0.81094,0.68089,0.84637,0.96174,0.75835,1.36358,1.58494,-0.03626,-0.16442,-0.0483,0.09968,0.1378,0.10972,0.21738,0.10282,0.17278,0.07223,0.11975,-0.23404,0.07552,0.17753,0.34213,-0.07841,0.31862,0.22819,0.4671,0.17075
0.4097,0.05336,0.40642,0.13893,0.29183,0.50061,0.46272,0.41999,0.26274,0.50084,0.01894,0.01489,0.38834,0.21564,-0.05894,0.01725,-0.00313,-0.09632,0.15917,-0.16012,-0.0899,0.02411,-0.1456,0.04052,0.25893,0.07755,0.08007,-0.13173,-0.17078,0.14823,-0.08357,0.12997,0.5857,0.16883,0.22129,-0.05571,0.33732,0.01719,0.06915,0.13686
0.23199,0.59581,0.62228000000000006,0.73832,0.40203,0.69944,1.25359,0.74436,1.27717,1.32259,0.35007,0.26311,0.44236,0.33532,0.8032,0.87668,1.13958,1.10293,1.29604,1.14102,-0.14121,0.25941,-0.06352,-0.05049,-0.13428,-0.11896,0.12976,0.33742,-0.00714,0.08466,-0.14428,-0.03055,-0.09558,0.35413,-0.09036,0.17045,0.4232,0.10592,0.18155,0.47679
-0.32925,0.39508,0.06701,0.20564,-0.1313,-0.03887,-0.24522,-0.02264,-0.04321,0.12004,0.16535,0.1908,0.04622,0.32978,0.2764,0.06473,-0.15818,0.19093,-0.26099,-0.08958,0.2088,0.60303,0.45689,0.28617,0.68495,0.74646,0.91456,0.94438,1.15753,1.11008,0.75467,0.52023,0.73013,0.70837,0.83591,1.02161,1.07975,1.08765,1.44768,1.63855
0.53564,0.59796,0.44318,0.86051,1.32603,1.01026,1.27275,0.99788,1.37638,1.17944,0.22682,0.56487,0.65013,0.2496,0.37621,0.74891,0.77758,0.70249,0.85834,0.60925,-0.29268,0.12252,-0.11216,0.18393,0.0662,-0.053900000000000003,-0.23849,0.01517,-0.35112,0.35049,0.0088,-0.10013,0.01893,0.09469,0.28567,-0.16154,-0.01016,0.35165,0.12602,0.05912
-0.07092,0.34993,0.22027,0.34331,0.48153,0.54158,0.50365,0.36778,0.50665,0.407,-0.01104,0.53134,0.79055,0.70903,0.94924,0.74822,1.0778,1.26356,1.43671,1.7589,0.14836,0.36058,0.37131,-0.05673,0.26931,0.35492,0.38967,0.41435,0.51444,0.29084,0.10321,0.09557,-0.11172,0.13228,0.29498,0.28872,0.05292,0.49015,0.02684,0.10127
0.16774,-0.28253,-0.15218,-0.17859,0.05562,0.29836,0.07239,-0.27467,0.18602,0.06666,0.32082,0.13868,1.07381,0.674,0.87318,1.09152,1.11628,1.43227,0.96714,1.48777,0.5218,0.36411,0.53289,0.73834,0.62224,1.08902,1.07026,0.8562,0.90769,1.20541,-0.1728,0.28555,0.27163,0.7393,0.81195,0.49117,0.43614000000000003,0.53846,0.79556,0.58379
0.24023,0.3939,0.4079,0.3472,0.74997,0.4612,0.10053,0.80293,0.15301,0.22041,0.4716,0.34686,0.55341,0.9258,0.59735,1.07645,1.06577,1.36653,1.22859,1.35566,0.32165,-0.1541,0.21671,0.51022,0.48454,0.33112,0.23365,0.25921,0.44416,0.64377,0.22812,-0.06569,0.30101,0.06079,0.22544,0.60035,0.66399,0.29893,0.24032,0.52981
0.44565,0.72032,0.26063,0.77133,1.07346,1.05788,0.91907,1.54122,1.1752,1.34663,0.20345,0.11484,-0.06341,0.04664,0.27019,0.35391,0.45475,0.23685,0.39295,-0.0634,-0.38879,-0.11033,-0.04194,-0.07282,0.03993,-0.33623,-0.13907,0.11957,0.21233,-0.17535,-0.13679,0.25922,-0.16506,0.09765,-0.11258,-0.2613,0.17883,0.36989,0.16166,0.15616
0.34577,-0.0696,-0.04813,-0.16476,0.22961,0.19335,0.11972,-0.07862,-0.03666,0.16839,-0.36215,0.26501,0.16552,0.33511,0.0574,0.21491,-0.00955,-0.11227,0.43387,0.37204,0.34919,0.54586,0.64322,0.76065,0.91431,0.99029,1.31164,1.24085,0.94246,1.57698,0.23881,0.47771,0.35832,0.67318,0.74298,0.98959,1.04977,1.10812,1.53004,1.33949
-0.02412,0.06046,-0.02044,0.00117,0.03779,0.1956,0.02421,-0.20438,0.21556,0.11359,0.38089,0.58162,0.37772,0.51368,0.46666,0.60907,1.24986,0.75968,1.0312,1.06243,-0.08866,0.36678,0.80959,0.88975,0.91681,0.8911,1.31038,1.85084,1.31314,1.18145,0.22084,0.32326,0.07068,0.42252,0.99158,0.84045,0.70833,0.49966,0.49536,0.81103
-0.2609,0.18734,-0.12529,-0.20651,0.02618,0.06583,0.26899,0.24909,-0.13571,0.07278,0.37989,0.34733,0.59188,-0.03581,0.15103,0.56955,0.0151,-0.11258,0.41344,0.32446,0.65234,1.03649,0.56758,0.56795,0.71823,1.37814,1.14866,1.90907,1.64513,1.64439,0.4932,0.61818,0.61281,0.30773,0.43067,0.83519,1.05917,0.62877,0.81148,1.12492
0.29086,0.80143,0.95597,0.59655,0.87025,0.78613,0.89375,0.89442,0.59089,1.16215,0.09445,0.14665,-0.12106,-0.03142,-0.07963,0.43697,0.35957,0.00667,-0.01248,-0.21732,-0.23245,0.25621,-0.19889,0.31383,-0.10197,-0.19302,0.07616,-0.16976,0.27104,0.05577,0.15696,0.15623,0.04291,0.1608,0.25537,0.04862,0.23765,0.15218,0.07305,0.23485
-0.03935,-0.21256,0.45421,-0.38016,-0.16371,0.29795,-0.07846,-0.01964,-0.12223,0.44779,0.35331,0.39269,-0.02509,0.23237,0.3079,0.11505,0.65725,0.53097,0.51861,0.62604,0.3196,0.27497,0.41365,0.38233,0.97172,0.7154,0.70669,1.19842,1.25941,1.27521,0.02843,0.19402,0.58951,0.31835,0.70037,0.62042,0.5082,1.0643,0.8106,0.74767
0.37747000000000003,0.53985,0.31392,0.43871,0.5236,1.25182,0.75326,0.95978,1.21566,0.81978,0.38863,0.36757,0.70122,0.87503,0.7707,0.95974,1.17881,1.26355,1.4898,1.35734,0.0898,0.1697,0.16366,-0.19214,0.0525,0.00784,-0.1146,-0.03864,0.39167,0.09669,0.16016,0.05861,0.02056,-0.03745,0.03876,0.12231,0.16428,0.37494,0.47436,0.12189
0.32806,0.27694,0.09057,0.09381,0.04872,0.02444,-0.16947,0.28942,-0.02815,-0.13923,0.08275,0.06482,-0.08085,-0.01372,0.37103,0.2082,-0.12556,0.44681,0.44305,0.28727,0.28358,0.5069,0.51095,0.67882,0.9427,0.89869,0.98424,0.79932,1.59906,1.49782,0.23749,0.07194,0.69612,0.94431,0.99783,0.83532,1.12389,0.98033,1.02296,1.33084
-0.33824,0.21419,0.10466,-0.29596,0.00797,0.04912,-0.0701,-0.09961,0.22893,0.05301,0.12348,0.45709,0.67545,0.40312,0.83006,0.85099,0.59488,0.85889,0.9975,0.92752,0.44476,0.60025,0.36995,0.72738,0.65192,0.98294,1.18202,1.13363,1.27653,1.20181,0.15029,0.15254,0.26018,0.31985,0.55676,0.65879,0.09695,0.5416,0.63301,0.94439
-0.04037,0.06194,0.09326,-0.15871,0.0506,-0.2222,-0.00865,0.00912,-0.2372,0.04986,-0.06247,0.1117,0.21272,0.21209,0.18428,0.70487,0.09439,-0.03193,0.49725,0.10367,0.48272,0.72456,0.73392,0.82823,0.59674,1.01125,1.74388,1.13195,1.38282,1.87819,0.45142,0.55648,0.86937,0.65127,0.61623000000000006,0.5995,0.87875,0.90381,1.18102,0.93355
0.09067,0.07178,0.22554,0.07129,0.48883,0.08638,0.25311,0.22983,0.43479,0.27178,0.10671,0.60182,0.60676,0.30563,1.0045,1.25436,1.25198,1.48733,1.31513,1.41155,0.0363,0.19812,0.16665,0.42943,0.4532,0.21332,0.62179,0.525,0.63144,0.71501,0.11538,0.08165,0.38373,0.40102,0.38282,0.20081,0.51652,0.25926,0.24143,0.465
0.20776,0.1634,0.02847,0.41741,0.58792,0.35655,0.15305,-0.05908,0.19385,0.40279,0.60055,0.40921,0.50292,0.8627,0.74569,0.92155,1.178,1.46051,1.3783,1.35719,0.16682,0.10151,0.32377,0.43944,0.46064,0.08672,0.44654,0.53102,0.33101,0.93729,-0.03342,0.33528,0.21144,-0.11376,0.55866,0.0514,0.45424,0.24975,0.5974,0.77721
-0.13724,0.17655,-0.42994,0.41608,-0.16961,-0.10233,0.02837,-0.05459,0.34183,-0.17246,-0.05827,0.1838,0.26854,0.08369,0.2523,0.3584,0.30014,0.81915,0.40721,0.45503,-0.08204,0.63116,0.69547,0.32562,1.00339,0.92499,0.68819,1.47246,1.34006,1.71257,0.17532,0.37297,0.39469,0.42478,0.39905,0.91486,0.5237,0.89313,1.2562,1.22968
0.23675,-0.00408,0.17457,0.29806,0.38343,0.92274,0.51454,0.27328,0.58273,0.99655,-0.04095,-0.13797,0.37171,0.30372,0.0632,-0.01953,0.18632,-0.0654,-0.05956,-0.08099,-0.10389,-0.16483,0.30013,0.00695,-0.0132,0.14309,-0.1382,-0.03305,-0.22162,-0.04026,0.07789,-0.1337,0.06733,-0.00471,-0.00614,-0.07062,0.0234,0.02309,0.11901,0.05855
0.2342,-0.03391,0.39711,0.09073,0.25142,0.32176,0.4612,0.6035,0.50778,0.76572,0.49049,0.64044,0.7814,0.45597,1.06275,1.24278,1.21534,1.52394,1.58967,1.30229,4.9e-4,0.28664,-0.04076,0.47974,-0.19541,0.08328,0.24432,0.66937,0.45855,0.64998,-0.38492,-0.22792,0.0021,0.18834,0.34812,0.01167,0.0879,0.32345,0.43299,0.56529
0.0036,-0.13419,-0.10629,0.02219,0.03242,-0.07032,0.25333,-0.03664,0.40001,0.11817,0.29727,0.36609,-0.03736,0.41926,0.29852,0.49005,0.64206,0.61345,0.31376,0.52918,0.61329,0.67496,0.84297,0.65494,0.87584,0.76173,1.17556,1.542,1.59782,1.44818,0.06512,0.48816,0.53067,0.24635,0.46221,0.96214,0.70176,1.03138,1.13603,1.00022
-0.01314,-0.26915,0.08434,-0.01325,-0.00646,-0.02399,0.36337,0.01903,0.52052,-0.06695,-0.03246,0.27585,0.61071,0.50386,0.36277,0.46762,0.71094,0.43642,0.53003,0.96055,0.51793,0.09131,0.66281,0.82872,0.74033,1.16337,1.13591,1.17709,1.25615,1.71297,0.57442,-0.0148,0.36177,0.61278,0.81842,0.64852,0.40121,0.68332,1.04118,0.84506
0.45076,-0.12399,0.10519,0.36231,0.54317,0.24888,0.32166,0.58658,0.55885,0.731,0.73949,0.39975,0.63879,0.93034,0.79523,1.27821,1.30531,1.38759,1.37783,1.54226,-0.12525,0.16934,0.16244,0.08269,0.14158,0.24537,0.4726,0.59215,0.28042,0.44803,-0.21754,-0.02428,0.53448,0.22754,0.50194,0.31545,0.27661,0.24878,0.24043,0.24932000000000001
0.13527,0.27649,0.04438,-0.11318,0.0287,0.29827,0.07339,0.02486,0.22894,0.37462,-0.18154,-0.32289,0.13263,0.4106,0.15616,-0.10013,0.41328,-0.03572,0.40222,-0.08409,0.42375,0.35029,0.4609,0.77843,0.9595,0.44855,0.78637,1.35137,0.93522,1.29424,0.68692,0.5147,0.51741,0.84068,1.03403,1.05594,0.95103,0.95856,1.27151,1.40576
0.60287,0.09818,0.44797,0.55894,0.59659,0.24476,0.56668,0.59124,0.6485,0.50809,0.18049,0.3303,0.52049,0.78111,1.03107,0.90716,1.004,1.38196,1.12539,1.33161,0.16718,0.24661,-0.09677,0.3429,-0.00989,0.12969,-0.12069,0.15034,0.15798,0.25185,-0.02431,0.27925,-0.09141,0.47796,-0.04351,-0.01103,0.25512,-0.12962,0.05986,0.20195
0.346,0.43218,0.68033,0.50654,1.0118,1.14115,1.32672,1.34203,1.43367,1.54866,-0.41137,0.22821,0.64429,0.11445,0.61379,0.28673,0.21904,0.56113,0.14049,0.82435,0.15868,0.20747,0.00927,-0.02612,0.05767,-0.31034,-0.08261,-0.00108,-0.13645,-0.22347,-0.14576,-0.35315,-0.04442,0.09576,-0.06973,-0.1461,0.70045,-0.05118,0.20007,0.38368
-0.02468,0.07202,0.16552,0.22092,0.20628,0.86339,0.72684,0.67384,0.53455,0.80568,0.13025,-0.18513,0.23904,-0.21659,-0.0796,-0.09503,0.18011,-0.09246,-0.15784,0.2326,-0.15648,0.21197,-0.20027,-0.44562,0.14471,0.06589,-0.05951,0.18464,-0.20105,0.19774,-0.07482,0.01636,-0.16162,-0.19384,0.18758,0.12375,-0.12785,-0.00867,0.00736,0.39201
0.18688,0.45725,0.67665,0.33411,0.73845,0.41932,0.45874,1.05539,1.08491,0.79754,-0.12631,0.00709,-0.1279,0.04561,-0.02994,-0.07097,-0.15394,0.03428,0.09795,-0.20955,0.05144,-0.22329,-0.17738,-0.12636,-0.17258,0.15304,-0.21394,-0.04631,0.00928,0.18296,0.23587,-0.03493,0.05597,0.21636,-0.12201,0.22587,-0.2262,0.19639,-0.05145,0.3883
0.38908,0.59839,0.60136,0.89776,0.89408,1.20809,1.17771,1.219,1.42829,1.43445,0.17068,-0.04121,0.50605,0.22938,0.68886,0.80141,0.73847,0.42081,0.90215,0.8629,0.29571,0.18362,-0.32221,0.15059,0.02576,0.11182,0.33652,0.18345,-0.39986,0.18444,0.17996,-0.11133,0.23828,-0.04891,-0.41709,0.35143,0.11439,0.09212,0.13763,0.08394
0.06145,0.38315,-0.07514,0.26885,0.149,0.15546,0.43349,0.38678,0.11413,0.36798,0.24059,0.57919,0.82508,0.77664,1.02428,0.73259,1.1519,1.57682,1.45439,1.58734,-0.03962,0.15287,0.49372,0.22988,0.26522,0.4859,0.29624,0.25299,0.88586,0.74842,0.05644,0.29023,0.21301,0.12386,0.25393,0.6347,-0.04126,0.21413,0.37801,0.86618
-0.06353,-0.06729,-0.10636,-0.11271,-0.27417,-0.07281,0.27679,0.13658,-0.25658,-0.06247,0.30311,0.41662,0.47018,0.67957,0.46288,0.58673,0.59501,0.78934,0.73794,0.76407,0.47439,0.50392,0.54663,0.87879,0.65667,0.98229,1.50637,1.25939,1.25171,1.46879,0.23056,0.19189,0.09311,0.41619,0.59396,0.48734,0.69163,0.84204,1.02492,0.76967
-0.05853,0.59077,0.4464,0.39668,0.43439,0.63723,0.51515,1.12697,0.87328,0.9591,0.60603,0.6125,0.44061,0.54586,0.78427,1.07372,0.99492,1.17923,1.33451,1.26527,0.06842,0.24198,-0.04905,-0.10436,0.24284,-0.05298,0.44947,-0.04158,0.41858,-0.10773,-0.21298,-0.16457,0.48818,0.35343,-0.13321,-0.09005,0.1902,0.30001,0.57192,0.30988
-0.15931,0.0276,-0.16829,0.28518,-0.20428,-0.25641,0.35675,-0.02648,0.00157,-0.45514,-0.0626,0.10391,0.4763,-0.10736,-0.19021,0.2978,-0.14102,0.18682000000000001,0.07054,-0.13807,0.30428,-0.02724,0.79001,0.86615,0.49316,0.68282,0.72147,1.0642,1.01475,1.33604,0.26855,0.62209,0.44123,0.72473,0.96465,0.89151,1.33703,1.64353,1.57583,1.82208
0.1673,0.25546,0.27647,0.58704,1.14414,0.97739,0.97251,1.4888,1.25035,1.77099,0.2536,0.36139,-0.03824,0.04555,-0.00916,0.32272,0.63531,0.44775,0.80109,1.19733,-0.29929,0.05855,0.09032,0.18985,-0.17433,0.21368,-0.21252,0.17454,0.03607,-0.00813,-0.11696,-0.1349,-0.07595,0.09004,0.01137,0.20314,0.1533,0.33039,-0.10747,0.01677
0.24379,0.47312,0.09704,0.58685,0.5748,0.38296,0.78392,0.46656,1.08695,0.6208,0.24267,-0.04505,0.94092,0.70554,0.71169,0.80028,1.22093,1.23602,1.66515,1.26832,-0.58258,-0.04933,0.2955,-0.02665,0.00214,0.61028,0.43852,0.11204,0.91449,0.57106,-0.12873,-0.26084,0.42484,0.16887,0.14561,0.25453,0.03235,0.31084,0.2783,0.46184
0.42295,0.77467,0.56711,1.02929,0.98343,0.84636,1.30002,1.44752,1.11618,1.50012,0.08513,0.48135,0.45569,0.21779,0.35061,0.51233,0.7277,0.90249,0.65843,0.9312,0.19556,0.30487,0.04062,-0.46009,0.19782,-0.2904,0.16854,-0.13721,-0.2123,-0.06337,0.30182,0.14598,0.04575,0.12504,0.33949,0.38987,-0.0273,0.17973,-0.1154,0.33978
